date,state,value
2021-12-20,New England,3.5861940612736425
2021-12-20,New York State,3.6498543108820507
2021-12-20,New York City,3.596804102875044
2021-12-27,Central Atlantic,3.6392442692806495
2021-12-27,New England,3.5755840196722417
2021-12-27,New York State,3.6392442692806495
2021-12-27,New York City,3.5861940612736425
2022-01-03,Central Atlantic,3.5887531482789417
2022-01-03,New England,3.536285996988314
2022-01-03,New York State,3.5887531482789417
2022-01-03,New York City,3.536285996988314
2022-01-10,Central Atlantic,3.5677662877626903
2022-01-10,New England,3.525792566730188
2022-01-10,New York State,3.5677662877626903
2022-01-10,New York City,3.4943122759558114
2022-01-17,Central Atlantic,3.5677662877626903
2022-01-17,New England,3.504805706213937
2022-01-17,New York State,3.557272857504565
2022-01-17,New York City,3.4943122759558114
2022-01-24,Central Atlantic,3.5887531482789417
2022-01-24,New England,3.504805706213937
2022-01-24,New York State,3.5887531482789417
2022-01-24,New York City,3.504805706213937
2022-01-31,Central Atlantic,3.630726869311444
2022-01-31,New England,3.536285996988314
2022-01-31,New York State,3.6412202995695697
2022-01-31,New York City,3.578259718020816
2022-02-07,Central Atlantic,3.6920407038329612
2022-02-07,New England,3.5874503156223962
2022-02-07,New York State,3.6815816650119046
2022-02-07,New York City,3.6188274320855656
2022-02-14,Central Atlantic,3.7861720532224705
2022-02-14,New England,3.6397455097276787
2022-02-14,New York State,3.8070901308645837
2022-02-14,New York City,3.733876859117187
2022-02-21,Central Atlantic,3.838467247327753
2022-02-21,New England,3.702499742654018
2022-02-21,New York State,3.859385324969866
2022-02-21,New York City,3.7757130144014135
2022-02-28,Central Atlantic,3.8803034026119794
2022-02-28,New England,3.7652539755803573
2022-02-28,New York State,3.9221395578962053
2022-02-28,New York City,3.8489262861488096
2022-03-07,Central Atlantic,4.388650565201427
2022-03-07,New England,4.326693145457408
2022-03-07,New York State,4.440281748321444
2022-03-07,New York City,4.39897680182543
2022-03-14,Central Atlantic,4.49191293144146
2022-03-14,New England,4.440281748321444
2022-03-14,New York State,4.502239168065464
2022-03-14,New York City,4.460934221569451
2022-03-21,Central Atlantic,4.357671855329417
2022-03-21,New England,4.367998091953421
2022-03-21,New York State,4.419629275073437
2022-03-21,New York City,4.357671855329417
2022-03-28,Central Atlantic,4.347345618705414
2022-03-28,New England,4.326693145457408
2022-03-28,New York State,4.378324328577424
2022-03-28,New York City,4.295714435585397
2022-04-04,Central Atlantic,4.247001114428767
2022-04-04,New England,4.185598688677989
2022-04-04,New York State,4.257234852053896
2022-04-04,New York City,4.17536495105286
2022-04-11,Central Atlantic,4.17536495105286
2022-04-11,New England,4.124196262927212
